nome,email,empresa,segmento,porte
"BAR E LANCHES JUCAPORTO LTDA","jmr@jmrcontabil.com.br","BAR E LANCHES JUCAPORTO LTDA","Restaurante","ME/MEI"
"CLINICA FACTUM SERVICOS MEDICOS LTDA","atendimento@clinicafactum.com.br","CLINICA FACTUM SERVICOS MEDICOS LTDA","Clinica","EPP"
"PRO FRATURAS CLINICA E EMERGENCIA EM ORTOPEDIA LTDA","clodoaldomarx@yahoo.com.br","PRO FRATURAS CLINICA E EMERGENCIA EM ORTOPEDIA LTDA","Clinica","ME/MEI"
"BAR E LANCHES THA & PRIS LTDA","brazcontabil@brazcontabil.com.br","BAR E LANCHES THA & PRIS LTDA","Restaurante","ME/MEI"
"BIONEFRO SERVICOS MEDICOS LTDA","legalizacao@mastercontabilsp.com.br","BIONEFRO SERVICOS MEDICOS LTDA","Clinica","EPP"
"SAVIO WORK CONSULTORIA EM SAUDE OCUPACIONAL LTDA","saviowork@saviowork.com.br","SAVIO WORK CONSULTORIA EM SAUDE OCUPACIONAL LTDA","Clinica","EPP"
"GASTRO IMAGEM MEDICOS ASSOCIADOS SOCIEDADE SIMPLES LTDA","manducont@manducont.com.br","GASTRO IMAGEM MEDICOS ASSOCIADOS SOCIEDADE SIMPLES LTDA","Clinica","EPP"
"DR. ARNALDO JOSE GODOY & CIA. LTDA","merc@mercempresarial.com.br","DR. ARNALDO JOSE GODOY & CIA. LTDA","Clinica","ME/MEI"
"MISTER PANE COMERCIAL LTDA","avir@avir.com.br","MISTER PANE COMERCIAL LTDA","Restaurante","ME/MEI"
"BAUMGRATZ PAES SERVICOS MEDICOS S/S","suticpaes@hotmail.com","BAUMGRATZ PAES SERVICOS MEDICOS S/S","Clinica","EPP"
"RC PEREIRA PASTEIS","rcpereira59@gmail.com","RC PEREIRA PASTEIS","Restaurante","ME/MEI"
"ENDOCLIN CLINICA DE ENDOSCOPIA S/S LTDA","roberto.silva@contabilcm.com.br","ENDOCLIN CLINICA DE ENDOSCOPIA S/S LTDA","Clinica","EPP"
"D'RONCADA CLINICA E CIRURGIA S/S LTDA","apoio@contabilesfinge.com.br","D'RONCADA CLINICA E CIRURGIA S/S LTDA","Clinica","ME/MEI"
"MATRIZ DA PALETA COMERCIO DE GELADOS COMESTIVEIS LTDA","luisfernando@matrizacai.com.br","MATRIZ DA PALETA COMERCIO DE GELADOS COMESTIVEIS LTDA","Restaurante","ME/MEI"
"SDC - SERVICOS MEDICOS S/S LTDA.","ens.campo@gmail.com","SDC - SERVICOS MEDICOS S/S LTDA.","Clinica","ME/MEI"
"TOTALBAR","contabil.pc.paulo@gmail.com","TOTALBAR","Restaurante","ME/MEI"
"AG KUDO COMERCIAL LTDA","gikudo@hotmail.com","AG KUDO COMERCIAL LTDA","Restaurante","ME/MEI"
"CAFE HARMONIA COMERCIO DE ALIMENTOS LTDA","crislinocarvalho@gmail.com","CAFE HARMONIA COMERCIO DE ALIMENTOS LTDA","Restaurante","EPP"
"ABL - ASSISTENCIA MEDICA","contabilramos@uol.com.br","ABL - ASSISTENCIA MEDICA","Clinica","EPP"
"MJLS LANCHES LTDA","safranauskas@uol.com.br","MJLS LANCHES LTDA","Restaurante","ME/MEI"
"SILVA & SILVA LANCHONETE LTDA","consultcont96@uol.com.br","SILVA & SILVA LANCHONETE LTDA","Restaurante","ME/MEI"
"SKOOM LANCHONETE E FAST FOOD LTDA","sigmactb@terra.com.br","SKOOM LANCHONETE E FAST FOOD LTDA","Restaurante","EPP"
"LANCHES ACARAUENSE LTDA","pamplonalanches1633@gmail.com","LANCHES ACARAUENSE LTDA","Restaurante","ME/MEI"
"LANCHES REGENCIA DA SAO JOAO LTDA","exato.contabeis@uol.com.br","LANCHES REGENCIA DA SAO JOAO LTDA","Restaurante","ME/MEI"
"LEVE PIZZA PIZZARIA LTDA","roncattomar@gmail.com","LEVE PIZZA PIZZARIA LTDA","Restaurante","ME/MEI"
"GRG ALIMENTOS LTDA","lazzarella@uol.com.br","GRG ALIMENTOS LTDA","Restaurante","ME/MEI"
"EDC GRILL E ALIMENTOS LTDA","contato@contabilsantos.com","EDC GRILL E ALIMENTOS LTDA","Restaurante","ME/MEI"
"ANTONIO OLIVEIRA DA SILVA PIZZARIA","email@email.com.br","ANTONIO OLIVEIRA DA SILVA PIZZARIA","Restaurante","ME/MEI"
"LANCHONETE NOVA COTOVIA LTDA","jmr@jmrcontabil.com.br","LANCHONETE NOVA COTOVIA LTDA","Restaurante","ME/MEI"
"CEDOT HCOR CLINICA DE PNEUMOLOGIA S/S LTDA","cedothcor@gmail.com","CEDOT HCOR CLINICA DE PNEUMOLOGIA S/S LTDA","Clinica","ME/MEI"
"CLINICA RAMOS DERMATOLOGIA & ESTETICA LTDA S/S","adm_clinicamed@yahoo.com.br","CLINICA RAMOS DERMATOLOGIA & ESTETICA LTDA S/S","Clinica","ME/MEI"
"LALOTAR COMERCIO DE ALIMENTOS LTDA","financeiro@scaleyou.com.br","LALOTAR COMERCIO DE ALIMENTOS LTDA","Restaurante","ME/MEI"
"LUFARIA PIZZARIA LTDA","liduaires@hotmail.com","LUFARIA PIZZARIA LTDA","Restaurante","ME/MEI"
"VIA TORINO RESTUARANTE LTDA","claudiacironi@hotmail.com","VIA TORINO RESTUARANTE LTDA","Restaurante","ME/MEI"
"CLINICA DR. KUMA LTDA","kumajks@gmail.com","CLINICA DR. KUMA LTDA","Clinica","EPP"
"CLINICA TUCUMAN LTDA","josemodoline@terra.com.br","CLINICA TUCUMAN LTDA","Clinica","ME/MEI"
"UGE ULTRA-SONOGRAFIA E GINECOLOGIA ESPECIALIZADA","victor.bunduki@hc.fm.usp.br","UGE ULTRA-SONOGRAFIA E GINECOLOGIA ESPECIALIZADA","Clinica","EPP"
"MATRE PROLE SAUDE LTDA","secretaria.mpsaude@gmail.com","MATRE PROLE SAUDE LTDA","Clinica","ME/MEI"
"LANCHONETE FREITAS & MARCOLAN LTDA","itrostolf@hotmail.com","LANCHONETE FREITAS & MARCOLAN LTDA","Restaurante","ME/MEI"
"RENATO LOURENCO COSTA","jmc.contabil@uol.com.br","RENATO LOURENCO COSTA","Restaurante","ME/MEI"
"CLINICA DERMATOLOGICA ALESSANDRA SIMOES LTDA","argos190972@gmail.com","CLINICA DERMATOLOGICA ALESSANDRA SIMOES LTDA","Clinica","ME/MEI"
"ENGEPLAN ALIMENTOS E REPRESENTACOES LTDA.","manofar@terra.com.br","ENGEPLAN ALIMENTOS E REPRESENTACOES LTDA.","Restaurante","EPP"
"RODRIGUES E CERVANTES SERVICOS MEDICOS S/S","aguilar@doutoraguilar.com.br","RODRIGUES E CERVANTES SERVICOS MEDICOS S/S","Clinica","EPP"
"RESTAURANTE TERRACO PAULISTANO LTDA","achilles@terracopaulistano.com.br","RESTAURANTE TERRACO PAULISTANO LTDA","Restaurante","EPP"
"MENDES COSTA SERVICOS MEDICOS LTDA","exitusinf@uol.com.br","MENDES COSTA SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"CENTRO DE REESTRUTURACAO HARMONIA S/S LTDA","mlinabaldassari@gmail.com","CENTRO DE REESTRUTURACAO HARMONIA S/S LTDA","Clinica","ME/MEI"
"LANCHONETE DRAGAO DO BELEM LTDA","fs.campos@uol.com.br","LANCHONETE DRAGAO DO BELEM LTDA","Restaurante","ME/MEI"
"LADOSOL COMERCIO E SERVICOS DE EVENTOS LTDA","nelson@pontualsp.com.br","LADOSOL COMERCIO E SERVICOS DE EVENTOS LTDA","Restaurante","ME/MEI"
"VILLA DI ROMA ALIMENTOS LTDA","solmar@solmarcontabil.com.br","VILLA DI ROMA ALIMENTOS LTDA","Restaurante","ME/MEI"
"NEURO ASSISTENCIA MEDICA LTDA","rosemarydamiani@hotmail.com","NEURO ASSISTENCIA MEDICA LTDA","Clinica","ME/MEI"
"CLINICA DE OTORRINOLARINGOLOGIA DRA. MARCIA ALE LTDA","dulci@uol.com.br","CLINICA DE OTORRINOLARINGOLOGIA DRA. MARCIA ALE LTDA","Clinica","ME/MEI"
"BUTCH GRILL COMERCIO DE ALIMENTOS LTDA","amauri@onj.com.br","BUTCH GRILL COMERCIO DE ALIMENTOS LTDA","Restaurante","ME/MEI"
"J. R. SANTOS SERVICOS MEDICOS LTDA","rother@rothercontabil.com.br","J. R. SANTOS SERVICOS MEDICOS LTDA","Clinica","EPP"
"DORTA & TEIXEIRA ASSISTENCIA MEDICA ESPECIALIZADA S/S","idorta@ig.com.br","DORTA & TEIXEIRA ASSISTENCIA MEDICA ESPECIALIZADA S/S","Clinica","ME/MEI"
"MAURICIO TOLEDO DE ABREU CARDIOLOGIA LTDA","abreu.cardiologia@hotmail.com","MAURICIO TOLEDO DE ABREU CARDIOLOGIA LTDA","Clinica","EPP"
"ATHEROS SERVICOS MEDICOS ASSOCIADOS LTDA","cardiologiaatheros@outlook.com","ATHEROS SERVICOS MEDICOS ASSOCIADOS LTDA","Clinica","EPP"
"CLINICA GINECOLOGICA DRA. MARIA TERESA TAMAI LTDA","contato@acvillela.com.br","CLINICA GINECOLOGICA DRA. MARIA TERESA TAMAI LTDA","Clinica","ME/MEI"
"GERALDO GRANATA S/S LTDA","gncontabil@globo.com","GERALDO GRANATA S/S LTDA","Clinica","EPP"
"M&M ASSISTENCIA EM GINECOLOGIA OBSTETRICIA E ENDOSCOPIA GINECOLOGICA SOCIEDADE SIMPLES","memago.gineco@gmail.com","M&M ASSISTENCIA EM GINECOLOGIA OBSTETRICIA E ENDOSCOPIA GINECOLOGICA SOCIEDADE SIMPLES","Clinica","ME/MEI"
"AIKO ASSISTENCIA MEDICA S/S LTDA","feliciamanabe@uol.com.br","AIKO ASSISTENCIA MEDICA S/S LTDA","Clinica","ME/MEI"
"ALERGO OFTALMO LTDA","profiscon@uol.com.br","ALERGO OFTALMO LTDA","Clinica","EPP"
"CLINICA MEDICA MANDIA S/S","tatimandia@hotmail.com","CLINICA MEDICA MANDIA S/S","Clinica","ME/MEI"
"JOSE ROBERTO MIELE CONSULTORIO MEDICO S/C LTDA","cezar@contabillopes.com.br","JOSE ROBERTO MIELE CONSULTORIO MEDICO S/C LTDA","Clinica","ME/MEI"
"G L M RIBEIRO JORGE LTDA","andrigar@uol.com.br","G L M RIBEIRO JORGE LTDA","Restaurante","ME/MEI"
"ASSISTENCIA MEDICA MONTE REY LTDA","barianicont@terra.com.br","ASSISTENCIA MEDICA MONTE REY LTDA","Clinica","ME/MEI"
"JARAMILLO SERVICOS MEDICOS S/S","ijaramillo1211@gmail.com","JARAMILLO SERVICOS MEDICOS S/S","Clinica","EPP"
"CLINICA IKEDA GINECOLOGIA E OBSTETRICIA S/S LTDA","legalcare@legalcare.com.br","CLINICA IKEDA GINECOLOGIA E OBSTETRICIA S/S LTDA","Clinica","ME/MEI"
"R.C.T. REUMATOLOGIA E UROLOGIA S S","vanessa@aboimcontabilidade.com.br","R.C.T. REUMATOLOGIA E UROLOGIA S S","Clinica","ME/MEI"
"LANCHONETE JSJ LTDA","waldeco_2009@hotmail.com","LANCHONETE JSJ LTDA","Restaurante","ME/MEI"
"JOSE XAVIER DE ARAUJO - LANCHES","carloscca@uol.com.br","JOSE XAVIER DE ARAUJO - LANCHES","Restaurante","EPP"
"TIDE RESTAURANTE E LANCHONETE LTDA","tiderestaurante@globo.com","TIDE RESTAURANTE E LANCHONETE LTDA","Restaurante","ME/MEI"
"JURA S BAR E RESTAURANTE LTDA","jurasbarqueiroz@gmail.com","JURA S BAR E RESTAURANTE LTDA","Restaurante","ME/MEI"
"MARIAS RESTAURANTE LTDA","paralegalsp@oscpaulistana.com.br","MARIAS RESTAURANTE LTDA","Restaurante","EPP"
"BAR E LANCHONETE JERICO LTDA","bartribunal@uol.com.br","BAR E LANCHONETE JERICO LTDA","Restaurante","EPP"
"PIZZARIA E ESFIHARIA FARAOS LTDA","amrassessoriacontabil@hotmail.com","PIZZARIA E ESFIHARIA FARAOS LTDA","Restaurante","ME/MEI"
"INSTITUTO DE OLHOS EDUARDO M. KUMORI LTDA","iokumori@terra.com.br","INSTITUTO DE OLHOS EDUARDO M. KUMORI LTDA","Clinica","ME/MEI"
"N.Y. DERMARADIUM S/S","nydermaradium@hotmail.com","N.Y. DERMARADIUM S/S","Clinica","EPP"
"LANCHONETE E RESTAURANTE CHIADO LTDA","chiado2005@yahoo.com.br","LANCHONETE E RESTAURANTE CHIADO LTDA","Restaurante","ME/MEI"
"INSTITUTO DE OLHOS LESTE LTDA","iolleste@uol.com.br","INSTITUTO DE OLHOS LESTE LTDA","Clinica","EPP"
"LANCHONETE COISA NOSTRA LTDA","coisa.nostra@terra.com.br","LANCHONETE COISA NOSTRA LTDA","Restaurante","ME/MEI"
"C.A.D CENTRO DE ATENDIMENTO DIGESTIVO LTDA","junior@aclcontabilidade.com.br","C.A.D CENTRO DE ATENDIMENTO DIGESTIVO LTDA","Clinica","EPP"
"BLUMENAU SERVICOS MEDICOS LTDA","clinicablumenau@hotmail.com","BLUMENAU SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"JJ JABER LANCHONETE LTDA","jaberitaim@terra.com.br","JJ JABER LANCHONETE LTDA","Restaurante","ME/MEI"
"BAR E RESTAURANTE SANTOS NOBREGA LTDA","conciltek@terra.com.br","BAR E RESTAURANTE SANTOS NOBREGA LTDA","Restaurante","ME/MEI"
"ATEPE - ATENDIMENTO PEDIATRICO LTDA","margaretesandoval@gmail.com","ATEPE - ATENDIMENTO PEDIATRICO LTDA","Clinica","EPP"
"PINHEIROS ESPECIALIDADES MEDICAS LTDA","ostemero@sartrecontabil.com.br","PINHEIROS ESPECIALIDADES MEDICAS LTDA","Clinica","ME/MEI"
"CLINICA ENDOCRINOLOGICA DR LUIZ C. M. AGUADE LTDA","luizaguade@gmail.com.br","CLINICA ENDOCRINOLOGICA DR LUIZ C. M. AGUADE LTDA","Clinica","ME/MEI"
"CARDIOCLIN CARDIOLOGIA SOCIEDADE SIMPLES","ids@idscontabil.com.br","CARDIOCLIN CARDIOLOGIA SOCIEDADE SIMPLES","Clinica","EPP"
"R. B. DERMATOLOGIA S/S","rosana.boraso@uol.com.br","R. B. DERMATOLOGIA S/S","Clinica","ME/MEI"
"HOSPCONSULTING SERVICOS MEDICOS LTDA","oestrella@uol.com.br","HOSPCONSULTING SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"VARANDAS CHURRASCARIA E PIZZARIA LTDA","varandas@gmail.com","VARANDAS CHURRASCARIA E PIZZARIA LTDA","Restaurante","ME/MEI"
"PULMICORDIS - MEDICOS ASSOCIADOS SOCIEDADE SIMPLES LTDA","heloisahelena.moreira@gmail.com","PULMICORDIS - MEDICOS ASSOCIADOS SOCIEDADE SIMPLES LTDA","Clinica","EPP"
"CARE CLINICA MEDICA LTDA","soniaregina_dias@yahoo.com.br","CARE CLINICA MEDICA LTDA","Clinica","EPP"
"LANCHONETE E RESTAURANTE JATOBA LTDA","adriana.rozendo@superig.com.br","LANCHONETE E RESTAURANTE JATOBA LTDA","Restaurante","ME/MEI"
"BIG CARDEAL LANCHES LTDA","manoel_big1@hotmail.com","BIG CARDEAL LANCHES LTDA","Restaurante","ME/MEI"
"SERGIO MIRANDA & ASSOCIADOS, CIRURGIA DA FACE LTDA","cirurgiadaface@terra.com.br","SERGIO MIRANDA & ASSOCIADOS, CIRURGIA DA FACE LTDA","Clinica","EPP"
"A2 BAR E LANCHES LTDA","financeiro@tomjazz.com.br","A2 BAR E LANCHES LTDA","Restaurante","EPP"
"CLINICA DRA VANIA MARIA BORGES WAKAVAIACHI LTDA","medcare.consultorio@gmail.com","CLINICA DRA VANIA MARIA BORGES WAKAVAIACHI LTDA","Clinica","ME/MEI"
"UNIDADE PEDIATRICA S/S","fiscogreen@fiscogreen.com.br","UNIDADE PEDIATRICA S/S","Clinica","ME/MEI"
"F.P.H.F. CIRURGIA PLASTICA LTDA","angelistadeu@gmail.com","F.P.H.F. CIRURGIA PLASTICA LTDA","Clinica","ME/MEI"
"BONA QUALITA PIZZARIA LTDA","manopizza81@gmail.com","BONA QUALITA PIZZARIA LTDA","Restaurante","ME/MEI"
"RESTAURANTE RAGONEZI LTDA","ragonezi.rest@gmail.com","RESTAURANTE RAGONEZI LTDA","Restaurante","ME/MEI"
"CARLOS VAZ DE JESUS PIZZARIA","megafiscontabil@uol.com.br","CARLOS VAZ DE JESUS PIZZARIA","Restaurante","ME/MEI"
"DIAGCORP - SERVICOS MEDICOS S/S LTDA.","diagcorp.imagem@gmail.com","DIAGCORP - SERVICOS MEDICOS S/S LTDA.","Clinica","ME/MEI"
"GERSON SCHILIVE","ipe_contabilidade@yahoo.com.br","GERSON SCHILIVE","Restaurante","ME/MEI"
"RAFAEL RIYUJI GOYA TAKARA","riyud3@hotmail.com","RAFAEL RIYUJI GOYA TAKARA","Restaurante","ME/MEI"
"CLINICA ARCOVERDE PSIQUIATRIA E PSICANALISE LTDA","arcoverde@zloti.com.br","CLINICA ARCOVERDE PSIQUIATRIA E PSICANALISE LTDA","Clinica","EPP"
"TUCHAS BAR LTDA","carolineadelira@gmail.com","TUCHAS BAR LTDA","Restaurante","ME/MEI"
"AURELINO MARTINS DE SANTANA","contabilfgarcia@terra.com.br","AURELINO MARTINS DE SANTANA","Restaurante","ME/MEI"
"CLINICA DERMATOLOGICA DRA. DILCILEA FRANCO S/S","dilcifranco@uol.com.br","CLINICA DERMATOLOGICA DRA. DILCILEA FRANCO S/S","Clinica","ME/MEI"
"MAPA SERVICOS MEDICOS LTDA","nicola@nicolasolucoes.com.br","MAPA SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"MNS RESTAURANTE LTDA","mario.polones@hotmail.com","MNS RESTAURANTE LTDA","Restaurante","ME/MEI"
"ALZINETE MENDES BARBOSA-LANCHONETE","contato@vinculoempresarial.com.br","ALZINETE MENDES BARBOSA-LANCHONETE","Restaurante","ME/MEI"
"DOCE E FESTA COMERCIO DE ALIMENTOS LTDA","marcos@doceirainnocencio.com.br","DOCE E FESTA COMERCIO DE ALIMENTOS LTDA","Restaurante","ME/MEI"
"MACIAN &  CIA LTDA","paralegal@taxflow.com.br","MACIAN &  CIA LTDA","Restaurante","ME/MEI"
"DR. JORGE A. KALIL MEDICINA ESPECIALIZADA S/S LTDA","consultoriojk@hotmail.com","DR. JORGE A. KALIL MEDICINA ESPECIALIZADA S/S LTDA","Clinica","ME/MEI"
"CAMHOS  SERVICOS MEDICOS S/S","pedroonofrio24943@gmail.com","CAMHOS  SERVICOS MEDICOS S/S","Clinica","ME/MEI"
"0 & N CLINICA MEDICA LTDA","mateusnogueira@msn.com","0 & N CLINICA MEDICA LTDA","Clinica","ME/MEI"
"MARCO FILIZOLA AZEVEDO","geraldo@gesplanoffice.com.br","MARCO FILIZOLA AZEVEDO","Restaurante","ME/MEI"
"BAR E LANCHES BURGUER MENEZES LTDA","fernando_daniell@hotmail.com","BAR E LANCHES BURGUER MENEZES LTDA","Restaurante","ME/MEI"
"COMERCIAL LA DOCE VITTA LTDA","carmengabriel_25@hotmail.com","COMERCIAL LA DOCE VITTA LTDA","Restaurante","ME/MEI"
"TRIMED - SERVICOS MEDICOS S/S LTDA","legalizacao@contabilexpressao.com.br","TRIMED - SERVICOS MEDICOS S/S LTDA","Clinica","ME/MEI"
"CLINICA PROLINE LTDA","drpablo@institutodrpablo.com.br","CLINICA PROLINE LTDA","Clinica","ME/MEI"
"NOVA LANCHONETE BOM JESUS DOIS LTDA","novalanchonetebomjesus2212@yahoo.com.br","NOVA LANCHONETE BOM JESUS DOIS LTDA","Restaurante","ME/MEI"
"ULTRACORDIS - MEDICOS ASSOCIADOS SOCIEDADE SIMPLES LTDA","manducont@ig.com.br","ULTRACORDIS - MEDICOS ASSOCIADOS SOCIEDADE SIMPLES LTDA","Clinica","ME/MEI"
"FERIAN E GIANNINI SERVICOS MEDICOS LTDA","ocamcontabilidade@terra.com.br","FERIAN E GIANNINI SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"BAR E LANCHES DANDARA LTDA","contabilrossi@contabilrossi.com.br","BAR E LANCHES DANDARA LTDA","Restaurante","ME/MEI"
"RESTAURANTE E MERCEARIA CASA VERDE LTDA","wellington@contida.com.br","RESTAURANTE E MERCEARIA CASA VERDE LTDA","Restaurante","ME/MEI"
"LEVY SERVICOS MEDICOS & CONSULTORIA LTDA","jayne-levy@hotmail.com","LEVY SERVICOS MEDICOS & CONSULTORIA LTDA","Clinica","ME/MEI"
"RKK SERVICOS MEDICOS S/S LTDA","arcondor@terra.com.br","RKK SERVICOS MEDICOS S/S LTDA","Clinica","EPP"
"VIDA, ACAO & SAUDE - ASSISTENCIA MEDICA LTDA","hs_almeida@yahoo.com.br","VIDA, ACAO & SAUDE - ASSISTENCIA MEDICA LTDA","Clinica","ME/MEI"
"LANCHONETE RAFHAELA LTDA","contabildp@sol.com.br","LANCHONETE RAFHAELA LTDA","Restaurante","ME/MEI"
"PRAIA DAS GAIVOTAS BAR E LANCHES LTDA","acfist@terra.com.br","PRAIA DAS GAIVOTAS BAR E LANCHES LTDA","Restaurante","ME/MEI"
"MADV SERVICOS MEDICOS LTDA","maxhealthconsultorio@gmail.com","MADV SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"SABOR GAUCHO GRILL LTDA","legal@waluse.com.br","SABOR GAUCHO GRILL LTDA","Restaurante","EPP"
"COMPANY COFFEE - CAFE LTDA","franscafecubatao@hotmail.com","COMPANY COFFEE - CAFE LTDA","Restaurante","EPP"
"CLINICA DE NEUROLOGIA E NEUROCIRURGIA PINHEIROS LTDA","robson@balencar.com.br","CLINICA DE NEUROLOGIA E NEUROCIRURGIA PINHEIROS LTDA","Clinica","EPP"
"PREST SERV - CLINICA MEDICA E PESQUISAS LTDA","contato@calvielloterranova.com.br","PREST SERV - CLINICA MEDICA E PESQUISAS LTDA","Clinica","ME/MEI"
"BEDMED SERVICOS MEDICOS LTDA","legalizacao@mastercontabilsp.com.br","BEDMED SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"CLINICA MEDICA COSTA LTDA","societariolegal@proesecont.com.br","CLINICA MEDICA COSTA LTDA","Clinica","EPP"
"CEMB-904 COMERCIO DE ALIMENTOS LTDA","cengecnt@terra.com.br","CEMB-904 COMERCIO DE ALIMENTOS LTDA","Restaurante","ME/MEI"
"LANCHONETE N. W. PONTO DE ENCONTRO LTDA","naticon@globo.com","LANCHONETE N. W. PONTO DE ENCONTRO LTDA","Restaurante","ME/MEI"
"E C MA TEIXEIRA - CAFE E LANCHES","elenice.c.medeiros@uol.com.br","E C MA TEIXEIRA - CAFE E LANCHES","Restaurante","ME/MEI"
"R CAMARGO ILHABELA LTDA","gerencia@marakuthai.com.br","R CAMARGO ILHABELA LTDA","Restaurante","ME/MEI"
"MHPPC RESTAURANTE LTDA","elzir.romaowil@gmail.com","MHPPC RESTAURANTE LTDA","Restaurante","ME/MEI"
"RJ PIZZARIA E ESFIHARIA LTDA","renato@vianaduarte.com.br","RJ PIZZARIA E ESFIHARIA LTDA","Restaurante","ME/MEI"
"DENTINHO'S BAR LTDA","oliveira.ortega@hotmail.com","DENTINHO'S BAR LTDA","Restaurante","ME/MEI"
"VICENTE DO NASCIMENTO NETO - LANCHONETE","senadorcontabil@senadorcontabil.com.br","VICENTE DO NASCIMENTO NETO - LANCHONETE","Restaurante","ME/MEI"
"BAR E LANCHES 4 CHIC LTDA","paralegal@safecont.com.br","BAR E LANCHES 4 CHIC LTDA","Restaurante","EPP"
"CLINICA DERMATOLOGICA MALBA BERTINO LIMITADA","universu@uol.com.br","CLINICA DERMATOLOGICA MALBA BERTINO LIMITADA","Clinica","EPP"
"HEMOCORDIS SERVICOS MEDICOS LTDA","paula@proconsist.com.br","HEMOCORDIS SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"XINGO BAR RESTAURANTE E MERCEARIA LTDA","neves.contabil@gmail.com","XINGO BAR RESTAURANTE E MERCEARIA LTDA","Restaurante","ME/MEI"
